1,1,2016,4,498,16,2,16,0.375
2,1,2016,1,914,16,2,16,0.375
3,1,2016,1,519,16,2,16,0.375
4,1,2016,1,784,16,2,16,0.375
5,1,2017,2,1101,16,2,16,0.375
6,1,2017,2,521,16,2,16,0.375
7,1,2017,2,1093,16,2,16,0.375
8,1,2017,3,1102,16,2,16,0.375
9,1,2017,3,520,16,2,16,0.375
10,1,2017,3,512,16,2,16,0.375
11,2,2017,4,507,16,2,16,0.089285714
12,2,2017,1,508,16,2,16,0.089285714
13,2,2017,1,520,16,2,16,0.089285714
14,2,2018,2,516,16,2,16,0.089285714
15,2,2018,2,513,16,2,16,0.089285714
16,2,2018,2,519,16,2,16,0.089285714
17,2,2018,3,521,16,2,16,0.089285714
18,2,2018,3,511,16,2,16,0.089285714
19,2,2018,3,512,16,2,16,0.089285714
20,2,2018,4,517,16,2,16,0.089285714
21,2,2018,4,513,16,2,16,0.089285714
22,3,2016,3,921,16,2,16,0.196428571
23,3,2016,3,1246,16,2,16,0.196428571
24,3,2016,3,507,16,2,16,0.196428571
25,3,2016,4,922,16,2,16,0.196428571
26,3,2016,4,268,16,2,16,0.196428571
27,3,2016,4,498,16,2,16,0.196428571
28,3,2016,1,924,16,2,16,0.196428571
29,3,2016,1,1100,16,2,16,0.196428571
30,3,2016,1,518,16,2,16,0.196428571
31,3,2016,1,516,16,2,16,0.196428571
32,3,2017,2,926,16,2,16,0.196428571
33,3,2017,2,1101,16,2,16,0.196428571
34,3,2017,2,1093,16,2,16,0.196428571
35,3,2017,2,519,16,2,16,0.196428571
36,3,2017,2,513,16,2,16,0.196428571
37,3,2017,3,913,16,2,16,0.196428571
38,3,2017,3,1102,16,2,16,0.196428571
39,3,2017,3,521,16,2,16,0.196428571
40,3,2017,3,512,16,2,16,0.196428571
41,3,2017,4,914,16,2,16,0.196428571
42,4,2017,1,913,16,2,16,0.178571429
43,4,2017,1,507,16,2,16,0.178571429
44,4,2017,1,508,16,2,16,0.178571429
45,4,2018,2,519,16,2,16,0.178571429
46,4,2018,2,513,16,2,16,0.178571429
47,4,2018,2,517,16,2,16,0.178571429
48,4,2018,3,521,16,2,16,0.178571429
49,4,2018,3,520,16,2,16,0.178571429
50,4,2018,3,511,16,2,16,0.178571429
