MajorId,SchoolId,WeakLabelScore,CourseId,DepartmentId
16,2,0.375,498,28
16,2,0.375,914,54
16,2,0.375,519,26
16,2,0.375,784,92
16,2,0.375,1101,71
16,2,0.375,521,26
16,2,0.375,1093,71
16,2,0.375,1102,71
16,2,0.375,520,26
16,2,0.375,512,26
16,2,0.089285714,507,26
16,2,0.089285714,508,26
16,2,0.089285714,520,26
16,2,0.089285714,516,26
16,2,0.089285714,513,26
16,2,0.089285714,519,26
16,2,0.089285714,521,26
16,2,0.089285714,511,26
16,2,0.089285714,512,26
16,2,0.089285714,517,26
16,2,0.089285714,513,26
16,2,0.196428571,921,54
16,2,0.196428571,1246,14
16,2,0.196428571,507,26
16,2,0.196428571,922,54
16,2,0.196428571,268,17
16,2,0.196428571,498,28
16,2,0.196428571,924,54
16,2,0.196428571,1100,71
16,2,0.196428571,518,26
16,2,0.196428571,516,26
16,2,0.196428571,926,54
16,2,0.196428571,1101,71
16,2,0.196428571,1093,71
16,2,0.196428571,519,26
16,2,0.196428571,513,26
16,2,0.196428571,913,54
16,2,0.196428571,1102,71
16,2,0.196428571,521,26
16,2,0.196428571,512,26
16,2,0.196428571,914,54
16,2,0.178571429,913,54
16,2,0.178571429,507,26
16,2,0.178571429,508,26
16,2,0.178571429,519,26
16,2,0.178571429,513,26
16,2,0.178571429,517,26
16,2,0.178571429,521,26
16,2,0.178571429,520,26
16,2,0.178571429,511,26
16,2,0,914,54
16,2,0,517,26
16,2,0,519,26
16,2,0,520,26
16,2,0,508,26
16,2,0,513,26
16,2,0,516,26
16,2,0,512,26
16,2,0,401,23
16,2,0,521,26
16,2,0,511,26
11,2,0.285714286,493,28
11,2,0.285714286,916,54
11,2,0.285714286,264,17
11,2,0.285714286,919,54
11,2,0.285714286,191,12
11,2,0.285714286,265,17
11,2,0.285714286,1133,73
11,2,0.285714286,199,12
11,2,0.285714286,322,110
11,2,0.285714286,200,12
11,2,0.285714286,1134,73
11,2,0.285714286,323,110
11,2,0.285714286,201,12
11,2,0.285714286,1155,78
11,2,0.285714286,784,92
28,2,0.464285714,493,28
28,2,0.464285714,1133,73
28,2,0.464285714,264,17
28,2,0.464285714,322,110
28,2,0.464285714,1134,73
28,2,0.464285714,191,12
28,2,0.464285714,199,12
28,2,0.464285714,200,12
28,2,0.464285714,919,54
28,2,0.464285714,201,12
8,1,0.446428571,926,54
8,1,0.446428571,502,26
8,1,0.446428571,271,17
8,1,0.446428571,1094,71
8,1,0.446428571,1100,71
8,1,0.446428571,924,54
8,1,0.446428571,505,26
8,1,0.446428571,926,54
8,1,0.446428571,507,26
8,1,0.446428571,1101,71
8,1,0.446428571,518,26
8,1,0.446428571,1102,71
28,2,0.625,921,54
28,2,0.625,1170,84
28,2,0.625,264,17
28,2,0.625,1133,73
26,2,0.035714286,916,54
26,2,0.035714286,266,17
26,2,0.035714286,492,28
26,2,0.035714286,917,54
26,2,0.035714286,1071,66
26,2,0.035714286,1133,73
26,2,0.035714286,921,54
26,2,0.035714286,193,12
26,2,0.035714286,1246,14
26,2,0.035714286,268,17
26,2,0.035714286,195,12
26,2,0.035714286,197,12
26,2,0.035714286,269,17
26,2,0.035714286,199,12
26,2,0.035714286,270,17
26,2,0.035714286,200,12
26,2,0.035714286,271,17
26,2,0.035714286,272,17
26,2,0.035714286,201,12
26,2,0.035714286,400,23
26,2,0.035714286,322,110
16,1,0.089285714,1246,14
16,1,0.089285714,367,118
16,1,0.089285714,268,17
16,1,0.089285714,516,26
16,1,0.089285714,1100,71
16,1,0.089285714,508,26
16,1,0.089285714,512,26
16,1,0.089285714,1101,71
16,1,0.089285714,513,26
16,1,0.089285714,517,26
16,1,0.089285714,510,26
16,1,0.089285714,1102,71
16,1,0.089285714,520,26
16,1,0.089285714,921,54
16,2,0.446428571,914,54
16,2,0.446428571,1100,71
16,2,0.446428571,518,26
16,2,0.446428571,913,54
16,2,0.446428571,1101,71
16,2,0.446428571,519,26
16,2,0.446428571,513,26
16,2,0.446428571,1102,71
16,2,0.446428571,521,26
16,2,0.446428571,912,54
29,1,0.303571429,916,54
29,1,0.303571429,505,26
29,1,0.303571429,266,17
29,1,0.303571429,917,54
29,1,0.303571429,1246,14
29,1,0.303571429,921,54
29,1,0.303571429,1094,71
29,1,0.303571429,922,54
29,1,0.303571429,268,17
29,1,0.303571429,507,26
29,1,0.303571429,498,28
29,1,0.303571429,924,54
29,1,0.303571429,1100,71
29,1,0.303571429,926,54
29,1,0.303571429,1101,71
29,1,0.303571429,518,26
29,1,0.303571429,1102,71
29,1,0.303571429,519,26
29,1,0.303571429,520,26
29,1,0.303571429,914,54
29,1,0.303571429,521,26
29,1,0.303571429,913,54
29,1,0.303571429,513,26
16,2,-0.160714286,917,54
16,2,-0.160714286,1246,14
16,2,-0.160714286,268,17
16,2,-0.160714286,323,110
16,2,-0.160714286,507,26
16,2,-0.160714286,921,54
16,2,-0.160714286,1094,71
16,2,-0.160714286,1093,71
16,2,-0.160714286,922,54
16,2,-0.160714286,1100,71
16,2,-0.160714286,924,54
16,2,-0.160714286,1101,71
16,2,-0.160714286,498,28
16,2,-0.160714286,401,23
16,2,-0.160714286,1102,71
16,2,-0.160714286,518,26
16,2,-0.160714286,913,54
16,2,-0.160714286,519,26
16,2,-0.160714286,914,54
16,2,-0.160714286,521,26
16,2,-0.160714286,512,26
16,2,-0.160714286,516,26
16,2,-0.160714286,513,26
16,2,-0.160714286,511,26
16,2,-0.160714286,517,26
30,2,0.803571429,321,110
30,2,0.803571429,1076,68
